strike,call_gex,put_gex,net_gex,abs_net_gex,GSI,pressure_zone
2.0,0.0,0.0,0.0,0.0,0.0,False
3.0,247.62150000000003,3655.3650000000002,-3407.7435,3407.7435,0.0634441087613293,False
4.0,4615.53,10128.337,-5512.807,5512.807,0.31304745220504226,False
5.0,39024.25,41398.272000000004,-2374.0220000000045,2374.0220000000045,0.4852403161393024,False
6.0,25974.99,64078.37999999999,-38103.389999999985,38103.389999999985,0.2884399551066218,False
7.0,208835.88749999995,92243.22,116592.66749999995,116592.66749999995,0.6936246398299158,False
8.0,156523.74000000002,160179.105,-3655.3649999999907,3655.3649999999907,0.49422903037072496,False
9.0,149654.34900000002,9921.705000000002,139732.64400000003,139732.64400000003,0.9378245999239962,True
10.0,153347.896,18131.958000000002,135215.938,135215.938,0.8942618763834497,False
11.0,471050.211,5424.09,465626.121,465626.121,0.9886161961125369,True
12.0,126199.93250000001,1167.3585,125032.57400000001,125032.57400000001,0.9908347073190086,False
13.0,142755.76000000004,1873.7255,140882.03450000004,140882.03450000004,0.9870446507258024,True
14.0,1462.1460000000002,1334.1240000000003,128.02199999999993,128.02199999999993,0.5228915662650602,False
15.0,47609.585,495.24300000000005,47114.342,47114.342,0.9897049210944066,False
16.0,65.13400000000001,364.41350000000006,-299.27950000000004,299.27950000000004,0.1516339869281046,False
17.0,476.152,377.32800000000003,98.82399999999996,98.82399999999996,0.5578947368421052,False
18.0,0.0,121.284,-121.284,121.284,0.0,False
19.0,0.0,87.59400000000001,-87.59400000000001,87.59400000000001,0.0,False
20.0,0.0,364.975,-364.975,364.975,0.0,False
21.0,0.0,852.9185000000001,-852.9185000000001,852.9185000000001,0.0,False
22.0,1267.3055,738.934,528.3715,528.3715,0.6316820598936468,False
23.0,0.0,914.122,-914.122,914.122,0.0,False
24.0,494.12,579.4680000000001,-85.34800000000007,85.34800000000007,0.4602510460251045,False
